Código,Descrição,Curva Frac,Curva Cx,Curva Geral,Qtde Venda Frac,Qtde Venda Cx,Qtde Venda Geral,Dias Pedido Frac,Dias Pedido Cx,Dias Pedido Geral,Ativ.Ressupr.Frac,Ativ.Ressupr.Cx,Ativ.Ressupr.Geral,Média por dia frac,Média por dia cx,Média por dia geral,Estoque Armaz.,Ender.Cx.Fech.,Estoque Cx,Capacidade Cx,Embal.,Estoque Frac,Capacidade Frac,Permite Frac.,Ender.Frac.,Tipo,Qtde Desvio Picking,local
106011.0,NARIDRIN 12 HORAS FR C/30ML,A,A,A,120789.0,893.0,210089.0,114.0,84.0,116.0,572.0,38.0,572.0,1059.5526,10.631,1811.1121,622.0,016-037-01-02,10,3.0,100.0,327.0,400.0,Não,29.913,Ponta De G,4636.0,pallet
102138.0,INFRALAX C/30 COMP,A,A,A,41542.0,508.0,65926.0,102.0,68.0,103.0,286.0,141.0,286.0,407.27450000000005,7.4706,640.0583,319.0,014-042-02-01,3,15.0,48.0,289.0,336.0,Não,22.032,Flowrack,2969.0,apanha_a
101175.0,INFRALAX C/ 15 COMP,A,A,A,40857.0,317.0,56073.0,103.0,61.0,104.0,283.0,122.0,283.0,396.66990000000004,5.1967,539.1635,331.0,014-032-02-01,11,15.0,48.0,85.0,332.0,Não,26.053,Flowrack,2719.0,apanha_a
101001.0,APEVITIN BC XPE 240ML,A,A,A,37199.0,357.0,49694.0,110.0,59.0,110.0,672.0,15.0,672.0,338.1727,6.050800000000001,451.7636,407.0,016-033-01-01,13,3.0,35.0,95.0,105.0,Não,29.911,Ponta De G,3860.0,pallet
102011.0,CYSTEX C/ 24DRG,A,A,A,36432.0,55.0,41932.0,112.0,11.0,112.0,299.0,79.0,299.0,325.2857,5.0,374.3929,415.0,014-034-02-01,14,15.0,100.0,101.0,300.0,Não,29.063,Flowrack,4219.0,apanha_a
101168.0,FOLIFOLIN 5MG C/ 30COMP,A,A,A,34497.0,319.0,53637.0,106.0,28.0,106.0,262.0,74.0,262.0,325.4434,11.392900000000001,506.0094,88.0,014-040-02-01,7,25.0,60.0,341.0,360.0,Não,21.034,Flowrack,3507.0,apanha_a
231012.0,EXPEC XAROPE FR C/120ML,A,A,A,26477.0,334.0,46517.0,98.0,65.0,98.0,282.0,2.0,282.0,270.1735,5.1385000000000005,474.66330000000005,376.0,016-043-01-02,13,3.0,60.0,97.0,180.0,Não,26.025,Flowrack,1678.0,pallet
101190.0,EMSEXPECTOR XPE 120ML,A,A,A,25951.0,137.0,34171.0,104.0,34.0,104.0,214.0,32.0,214.0,249.52880000000002,4.0294,328.5673,158.0,016-035-01-02,20,3.0,60.0,103.0,240.0,Não,21.911,Ponta De G,2410.0,pallet
231064.0,REPOFLOR 200MG C/ 06CAPS,A,A,A,24744.0,149.0,39644.0,97.0,13.0,97.0,373.0,71.0,373.0,255.0928,11.461500000000001,408.701,0.0,014-034-01-02,0,15.0,100.0,1.0,300.0,Sim,25.012,Flowrack,1799.0,apanha_a
102398.0,SOMINEX COMPOSTO REV C/ 20COMP,A,A,A,23560.0,234.0,34792.0,109.0,33.0,109.0,252.0,136.0,252.0,216.1468,7.0909,319.1927,9.0,014-038-02-02,10,12.0,48.0,166.0,192.0,Não,22.084,Flowrack,3010.0,apanha_a
236003.0,BISMU-JET GOTAS 20ML,A,B,A,20424.0,8.0,21224.0,97.0,6.0,97.0,103.0,99.0,103.0,210.5567,1.3333000000000002,218.8041,8.0,014-038-01-02,0,4.0,100.0,351.0,400.0,Não,22.042,Flowrack,2119.0,apanha_a
102062.0,GEROVITAL C/ 60CAPS,A,A,A,20374.0,60.0,23374.0,107.0,19.0,107.0,217.0,52.0,217.0,190.4112,3.1579,218.4486,388.0,015-041-01-01,6,16.0,50.0,100.0,110.0,Não,25.064,Flowrack,3476.0,apanha_a
10302.0,LOSARTANA POT 50MG 30CP,A,A,A,19532.0,378.0,51284.0,78.0,36.0,78.0,106.0,35.0,106.0,250.4103,10.5,657.4872,214.0,016-037-01-01,0,20.0,84.0,10.0,252.0,Não,22.013,Flowrack,367.0,pallet
102133.0,ALLEXOFEDRIN ( D) 60+120MG C/ 10COMP,A,A,A,19152.0,119.0,24864.0,110.0,22.0,110.0,131.0,71.0,131.0,174.1091,5.4091000000000005,226.03640000000001,221.0,014-040-02-02,10,15.0,48.0,194.0,336.0,Não,29.024,Flowrack,2836.0,apanha_a
102384.0,COMPLEXO B12 FR C/20 COMP REV,A,A,A,18027.0,87.0,26727.0,93.0,17.0,93.0,154.0,83.0,154.0,193.83870000000002,5.1176,287.38710000000003,0.0,014-036-01-02,0,10.0,100.0,0.0,300.0,Não,21.084,Flowrack,2420.0,apanha_a
102382.0,COMPLEXO B FR C/100 COMP REV,A,A,A,16485.0,35.0,20685.0,102.0,8.0,102.0,136.0,53.0,136.0,161.6176,4.375,202.79410000000001,38.0,014-042-01-01,5,8.0,120.0,192.0,120.0,Não,22.043,Flowrack,2533.0,apanha_a
11118.0,"CLOPERASTINA XPE 3,54 MG/ML C/120 ML",A,A,A,15779.0,45.0,18479.0,86.0,9.0,86.0,151.0,35.0,151.0,183.47670000000002,5.0,214.87210000000002,147.0,016-039-01-02,30,3.0,60.0,137.0,180.0,Não,28.055,Flowrack,902.0,pallet
407759.0,SILDENAFILA  50MG C/  4COMP,A,B,A,15308.0,5.0,15808.0,84.0,4.0,84.0,106.0,55.0,106.0,182.2381,1.25,188.19050000000001,11.0,016-020-01-02,0,6.0,100.0,322.0,300.0,Não,21.033,Flowrack,882.0,apanha_c
