,Ordem,Código,Descrição,Curva Frac,Curva Cx,Curva Geral,Qtde Venda Frac,Qtde Venda Cx,Qtde Venda Geral,Dias Pedido Frac,Dias Pedido Cx,Dias Pedido Geral,Ativ.Ressupr.Frac,Ativ.Ressupr.Cx,Ativ.Ressupr.Geral,Média por dia frac,Média por dia cx,Média por dia geral,Estoque Armaz.,Ender.Cx.Fechada,Estoque Cx,Capacidade Cx,Embal.,Estoque Frac,Capacidade Frac,Permite Frac.,Ender.Fracionado,Tipo,Qtde Desvio Picking,local
0,1,106011,NARIDRIN 12 HORAS FR C/30ML,A,A,A,279389.0,6507.0,930089.0,271.0,251.0,274.0,1490.0,164.0,1490.0,1030.9557,25.9243,3394.4854,3918.0,016-037-01-02,35,2.0,100.0,222.0,500.0,Não,29.913,Ponta De G,3236.0,pallet
1,2,231012,EXPEC XAROPE FR C/120ML,A,A,A,141134.0,4505.0,411434.0,270.0,207.0,270.0,1157.0,177.0,1157.0,522.7185000000001,21.7633,1523.8296,1136.0,016-043-01-02,18,2.0,60.0,58.0,240.0,Não,26.025,Flowrack,3038.0,pallet
2,3,101190,EMSEXPECTOR XPE 120ML,A,A,A,136570.0,1077.0,201190.0,275.0,174.0,275.0,1156.0,239.0,1156.0,496.6182,6.1897,731.6,842.0,016-035-01-02,33,2.0,60.0,54.0,240.0,Não,21.911,Ponta De G,1791.0,pallet
3,4,102011,CYSTEX C/ 24DRG,A,A,A,121411.0,251.0,146511.0,280.0,51.0,280.0,1011.0,283.0,1011.0,433.6107,4.921600000000001,523.2536,659.0,014-022-02-02,19,20.0,100.0,82.0,300.0,Não,29.063,Flowrack,4911.0,apanha_a
4,5,101001,APEVITIN BC XPE 240ML,A,B,A,112829.0,20.0,174364.0,280.0,2.0,282.0,1525.0,252.0,1525.0,402.9607,10.0,618.3121,1156.0,016-033-01-01,29,2.0,35.0,18.0,105.0,Não,29.911,Ponta De G,3490.0,pallet
5,6,101175,INFRALAX C/ 15 COMP,A,A,A,98494.0,1309.0,161326.0,270.0,197.0,271.0,779.0,280.0,779.0,364.7926,6.6447,595.2989,426.0,014-032-02-01,30,30.0,48.0,289.0,332.0,Não,20.083,Flowrack,1983.0,apanha_a
6,7,231064,REPOFLOR 200MG C/ 06CAPS,A,A,A,94594.0,268.0,121394.0,264.0,49.0,264.0,701.0,225.0,701.0,358.3106,5.4694,459.8258,129.0,014-034-01-02,15,15.0,100.0,137.0,300.0,Não,25.012,Flowrack,2242.0,apanha_a
7,8,102138,INFRALAX C/30 COMP,A,A,A,87301.0,1290.0,149221.0,267.0,193.0,268.0,605.0,263.0,605.0,326.97,6.6839,556.7948,299.0,014-042-02-01,45,45.0,48.0,265.0,384.0,Não,22.032,Flowrack,1832.0,apanha_a
8,9,102133,ALLEXOFEDRIN ( D) 60+120MG C/ 10COMP,A,A,A,85479.0,346.0,102087.0,282.0,96.0,282.0,625.0,200.0,625.0,303.117,3.6042,362.0106,487.0,014-040-02-02,23,30.0,48.0,201.0,336.0,Não,29.024,Flowrack,1979.0,apanha_a
9,10,102322,"CLOPE 3,54MG/ML XPE 120ML",A,A,A,76807.0,460.0,104407.0,193.0,86.0,194.0,584.0,68.0,584.0,397.9637,5.348800000000001,538.1804000000001,533.0,016-041-01-01,9,5.0,60.0,130.0,240.0,Não,25.085,Flowrack,1270.0,pallet
10,11,101168,FOLIFOLIN 5MG C/ 30COMP,A,A,A,71792.0,698.0,113672.0,256.0,84.0,256.0,496.0,249.0,496.0,280.4375,8.3095,444.0313,0.0,014-016-02-01,0,15.0,60.0,0.0,360.0,Não,21.034,Flowrack,2174.0,apanha_a
