Endereço,Tipo Endereço,Motivo Bloq.Ender.,Estoque Total (Unit.),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
010-002-05-02,Armazenagem,,216,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063785,BISCOITO DE ARROZ COM CHOCOLATE MEIO AMA,231127,2024-11-30 00:00:00,249,,216,0,0,0,0,216
,,,,,,,,,,,,
010-004-03-01,Armazenagem,,108,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063784,BISCOITO DE ARROZ COM CHOCOLATE AO LEITE,231130,2024-11-30 00:00:00,249,,108,0,0,0,0,108
,,,,,,,,,,,,
010-004-03-02,Armazenagem,,24,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063886,LINEA ADOC SWEET NATURAL LIQUIDO 25ML,96818,2026-05-31 00:00:00,796,,12,0,0,0,0,12
,020000063895,LINEA CHOCOLATE BCO COOKIES CR 15X30G,231705,2024-05-31 00:00:00,66,,4,0,0,0,0,4
,020000063902,LINEA CHOCOLATE VEGANO BRANCO 15X30G,230619VB06,2024-08-31 00:00:00,158,,8,0,0,0,0,8
,,,,,,,,,,,,
010-004-04-01,Armazenagem,,648,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063791,PIRAQUE VEGGIE CHIPS CEBOLA E SALSA,240131,2024-07-31 00:00:00,127,,648,0,0,0,0,648
,,,,,,,,,,,,
010-006-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/10/2023,2023-10-31 00:00:00,-147,,320,0,0,0,0,320
,,,,,,,,,,,,
010-006-04-02,Armazenagem,,252,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063784,BISCOITO DE ARROZ COM CHOCOLATE AO LEITE,240208,2025-02-28 00:00:00,339,,108,0,0,0,0,108
,020000063785,BISCOITO DE ARROZ COM CHOCOLATE MEIO AMA,231127,2024-11-30 00:00:00,249,,36,0,0,0,0,36
,020000063788,PASTA DE AMENDOIM INTEGRAL CREMOSA 450G,8258,2024-09-30 00:00:00,188,,72,0,0,0,0,72
,020000063794,PIRAQUE BISCOITO SALGADO 138G,A04824B06,2024-10-31 00:00:00,219,,36,0,0,0,0,36
,,,,,,,,,,,,
010-012-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/10/2023,2023-10-31 00:00:00,-147,,320,0,0,0,0,320
,,,,,,,,,,,,
010-012-05-01,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-012-05-02,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-014-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/08/2023,2023-08-31 00:00:00,-208,,320,0,0,0,0,320
,,,,,,,,,,,,
010-014-05-01,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-014-05-02,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-016-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/10/2023,2023-10-31 00:00:00,-147,,320,0,0,0,0,320
,,,,,,,,,,,,
010-016-05-01,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-016-05-02,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-018-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/10/2023,2023-10-31 00:00:00,-147,,320,0,0,0,0,320
,,,,,,,,,,,,
010-018-05-01,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-020-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/10/2023,2023-10-31 00:00:00,-147,,320,0,0,0,0,320
,,,,,,,,,,,,
010-020-05-02,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-022-04-02,Armazenagem,,400,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/01/2024,2024-01-31 00:00:00,-55,,400,0,0,0,0,400
,,,,,,,,,,,,
010-022-05-01,Armazenagem,,126,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000060337,FD INF VIC BABY HIPER EG 06X50,302901001,2027-02-28 00:00:00,1069,,126,0,0,0,0,126
,,,,,,,,,,,,
010-024-05-01,Armazenagem,,128,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063731,FD INF CAPRICHO BABY MEGA XXG 04 X 54,296701001,2027-02-28 00:00:00,1069,,128,0,0,0,0,128
,,,,,,,,,,,,
010-024-05-02,Armazenagem,,128,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063731,FD INF CAPRICHO BABY MEGA XXG 04 X 54,296701001,2027-02-28 00:00:00,1069,,128,0,0,0,0,128
,,,,,,,,,,,,
010-026-04-01,Armazenagem,,400,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/01/2024,2024-01-31 00:00:00,-55,,400,0,0,0,0,400
,,,,,,,,,,,,
010-026-04-02,Armazenagem,,400,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/01/2024,2024-01-31 00:00:00,-55,,400,0,0,0,0,400
,,,,,,,,,,,,
010-026-05-01,Armazenagem,,128,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063731,FD INF CAPRICHO BABY MEGA XXG 04 X 54,296701001,2027-02-28 00:00:00,1069,,128,0,0,0,0,128
,,,,,,,,,,,,
010-026-05-02,Armazenagem,,128,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063731,FD INF CAPRICHO BABY MEGA XXG 04 X 54,296701001,2027-02-28 00:00:00,1069,,128,0,0,0,0,128
,,,,,,,,,,,,
010-028-05-01,Armazenagem,,128,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063731,FD INF CAPRICHO BABY MEGA XXG 04 X 54,296701001,2027-02-28 00:00:00,1069,,128,0,0,0,0,128
,,,,,,,,,,,,
010-028-05-02,Armazenagem,.TEMPORARIO,36,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063729,FD INF CAPRICHO BABY MEGA G 04 X 72,275301001,2027-01-31 00:00:00,1041,,36,0,0,0,0,36
,,,,,,,,,,,,
010-030-05-01,Armazenagem,.TEMPORARIO,84,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063729,FD INF CAPRICHO BABY MEGA G 04 X 72,275301001,2027-01-31 00:00:00,1041,,84,0,0,0,0,84
,,,,,,,,,,,,
010-030-05-02,Armazenagem,.TEMPORARIO,84,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063729,FD INF CAPRICHO BABY MEGA G 04 X 72,275301001,2027-01-31 00:00:00,1041,,84,0,0,0,0,84
,,,,,,,,,,,,
010-032-04-01,Armazenagem,,720,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/01/2024,2024-01-31 00:00:00,-55,,720,0,0,0,0,720
,,,,,,,,,,,,
010-032-05-01,Armazenagem,.TEMPORARIO,84,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063729,FD INF CAPRICHO BABY MEGA G 04 X 72,275301001,2027-01-31 00:00:00,1041,,84,0,0,0,0,84
,,,,,,,,,,,,
010-032-05-02,Armazenagem,.TEMPORARIO,84,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063729,FD INF CAPRICHO BABY MEGA G 04 X 72,275301001,2027-01-31 00:00:00,1041,,84,0,0,0,0,84
,,,,,,,,,,,,
010-034-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/08/2023,2023-08-31 00:00:00,-208,,140,0,0,0,0,140
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/10/2023,2023-10-31 00:00:00,-147,,180,0,0,0,0,180
,,,,,,,,,,,,
010-034-04-01,Armazenagem,,720,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/01/2024,2024-01-31 00:00:00,-55,,720,0,0,0,0,720
,,,,,,,,,,,,
010-034-04-02,Armazenagem,,3000,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000193,CAIXA DE PAPELAO - MINI,0,2030-01-31 00:00:00,2137,,3000,0,0,0,0,3000
,,,,,,,,,,,,
010-034-05-01,Armazenagem,.TEMPORARIO,84,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063729,FD INF CAPRICHO BABY MEGA G 04 X 72,275301001,2027-01-31 00:00:00,1041,,84,0,0,0,0,84
,,,,,,,,,,,,
010-034-05-02,Armazenagem,.TEMPORARIO,84,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000063729,FD INF CAPRICHO BABY MEGA G 04 X 72,275301001,2027-01-31 00:00:00,1041,,84,0,0,0,0,84
,,,,,,,,,,,,
010-036-03-02,Armazenagem,,320,,,,,,,,,
,Cód.Produto,Descrição,Num. Lote,Data Validade,Dias Venc.,Lote Bloq.,Estoque,Res.Apanha,Ress.Entrada,Ress.Saída,Ajuste Saída,Saldo
,020000000530,CAIXA DE PAPELAO N. 05 - GRANDE,31/08/2023,2023-08-31 00:00:00,-208,,320,0,0,0,0,320
,,,,,,,,,,,,
010-036-04-01,Armazenagem,,720,,,,,,,,,
