 ,Dep.,Apelido,Região, .1,Situação, .2,Função,Tipo Apanha Frac.,Promoção,Altura,Num.Posto,Descr.Posto,Motivo Bloqueio, .3,Data Último Invent.,Sit.Último Invent.,Total Invent.
,1,010-002-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,.NÃO EXISTE,,,Pendente,0
,1,010-002-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,.NÃO EXISTE,,,Pendente,0
,1,010-002-04-01,1,,Uso,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2025-01-04 09:28:18,Contado,7
,1,010-002-04-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA PADRAO PALETE,0,,INVENTARIO,,2025-01-06 16:55:55,Pendente,9
,1,010-002-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:58,Contado,6
,1,010-002-05-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:55,Pendente,10
,1,010-002-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-002-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-002-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-002-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-002-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-002-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-004-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-10-24 14:01:21,Cancelado,6
,1,010-004-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2023-07-12 15:38:49,Cancelado,3
,1,010-004-04-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA PADRAO PALETE,0,,INVENTARIO,,2025-01-06 16:55:55,Pendente,12
,1,010-004-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,10
,1,010-004-05-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:55,Pendente,9
,1,010-004-05-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:55,Pendente,9
,1,010-004-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-004-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-004-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-004-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-004-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-004-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-006-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-03-13 08:27:55,Cancelado,7
,1,010-006-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:12,Cancelado,9
,1,010-006-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:06,Contado,8
,1,010-006-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:06,Contado,7
,1,010-006-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,3
,1,010-006-05-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,7
,1,010-006-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-006-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-006-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-006-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-006-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-006-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-008-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-008-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,7
,1,010-008-04-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,10
,1,010-008-05-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,7
,1,010-008-05-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,7
,1,010-008-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-008-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-008-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-008-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-008-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-008-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-010-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-03-12 08:52:57,Cancelado,2
,1,010-010-04-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,12
,1,010-010-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:06,Contado,8
,1,010-010-05-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,7
,1,010-010-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,6
,1,010-010-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-010-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-010-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-010-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-010-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-010-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-012-03-01,11,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-012-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:12,Cancelado,3
,1,010-012-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,6
,1,010-012-04-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,10
,1,010-012-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,6
