Cód.Produto,Descrição,Curva,Embal.,Qtde Venda,Qtde Acumulada,Perc.,Perc.Acumulada,Dias Pedido,Média por dia,Capacid.Apan.,Perc.Capacid.Apan.,Endereço Apanha,Tipo Ender.,Estoque (Unid.),Ativ.Ressupr.,Qtde Desvio Picking,Ender.Apan.Cx.Fech.,Estoque Cx.Fech. (Unid.),Ativ.Ressupr.Cx.Fech.,Estoque Armaz. (Unid.),Estoque Geral (Unid.)
20000106011.0,NARIDRIN 12 HORAS FR C/30ML,A,1.0,401898.0,401898.0,6.6527,6.6527,257.0,1563.8054,500.0,312.7611,01.995.018.90.03,Ponta Gondola,402.0,1186.0,5703.0,01.010.018.01.02,2600.0,408.0,144700.0,147702.0
20000101190.0,EMSEXPECTOR XPE 120ML,A,1.0,174752.0,576650.0,2.8927,9.5454,141.0,1239.3759,240.0,516.4066,00.199.502.97.05,Flowrack,289.0,344.0,2962.0,01.014.040.01.01,60.0,179.0,110760.0,111109.0
20000231012.0,EXPEC XAROPE FR C/120ML,A,1.0,172654.0,749304.0,2.858,12.403400000000001,160.0,1079.0875,240.0,449.6198,00.199.502.98.06,Flowrack,183.0,404.0,3138.0,01.014.028.01.02,240.0,188.0,17100.0,17523.0
20000102133.0,ALLEXOFEDRIN ( D) 60+120MG C/ 10COMP,A,1.0,96300.0,845604.0,1.5941,13.9975,199.0,483.9196,384.0,126.0207,00.199.502.93.03,Flowrack,363.0,511.0,4225.0,01.014.040.02.02,1584.0,251.0,39072.0,41019.0
20000102011.0,CYSTEX C/ 24DRG,A,1.0,94674.0,940278.0,1.5672000000000001,15.5646,268.0,353.26120000000003,500.0,70.65220000000001,01.995.021.90.09,Ponta Gondola,420.0,457.0,4439.0,01.014.022.01.02,1000.0,211.0,13900.0,15320.0
20000010583.0,DIPIRONA SOD SOL ORAL 100ML,A,1.0,94106.0,1034384.0,1.5578,17.122400000000003,96.0,980.2708,240.0,408.44620000000003,00.199.502.88.05,Flowrack,222.0,195.0,2085.0,01.010.028.01.01,480.0,66.0,3900.0,4602.0
20000011485.0,BUDESONIDA 32MCG SPRAY NASAL,A,1.0,91673.0,1126057.0,1.5175,18.6399,109.0,841.0367,480.0,175.216,00.199.502.26.03,Flowrack,360.0,312.0,1673.0,01.010.028.01.01,1200.0,126.0,28080.0,29640.0
20000101175.0,INFRALAX C/ 15 COMP,A,1.0,88281.0,1214338.0,1.4613,20.101200000000002,268.0,329.4067,384.0,85.783,00.199.502.58.01,Flowrack,341.0,621.0,1960.0,01.014.032.02.01,1728.0,359.0,31056.0,33125.0
20000101066.0,CELERGIN XPE 120ML,A,1.0,81428.0,1295766.0,1.3479,21.4491,132.0,616.8788000000001,240.0,257.0328,00.199.502.62.05,Flowrack,235.0,437.0,2554.0,01.014.032.01.02,900.0,184.0,11520.0,12655.0
20000010773.0,PARACETAMOL+CLOR PSEUD C/24CP,A,1.0,70400.0,1366166.0,1.1653,22.6145,118.0,596.6102000000001,600.0,99.435,01.995.020.90.03,Ponta Gondola,519.0,206.0,1581.0,01.014.006.01.01,480.0,104.0,30192.0,31191.0
20000102138.0,INFRALAX C/30 COMP,A,1.0,70002.0,1436168.0,1.1588,23.773200000000003,241.0,290.4647,480.0,60.5135,00.199.502.98.01,Flowrack,459.0,471.0,1769.0,01.014.042.02.01,1344.0,319.0,49344.0,51147.0
20000010538.0,ACETILCISTEINA 600MG 16ENV 5G,A,1.0,68732.0,1504900.0,1.1377000000000002,24.911,174.0,395.0115,108.0,365.7514,01.995.019.90.03,Ponta Gondola,81.0,555.0,1374.0,01.014.038.02.02,504.0,199.0,14256.0,14841.0
20000102322.0,"CLOPE 3,54MG/ML XPE 120ML",A,1.0,63664.0,1568564.0,1.0538,25.9648,62.0,1026.8387,240.0,427.84950000000003,00.199.501.77.04,Flowrack,0.0,173.0,1.0,01.014.014.01.02,0.0,52.0,0.0,0.0
20000106005.0,NARIDRIN ADULTO FR C/15ML,A,1.0,61878.0,1630442.0,1.0243,26.9891,228.0,271.3947,300.0,90.4649,00.199.502.58.02,Flowrack,261.0,421.0,1943.0,01.014.034.02.02,900.0,180.0,22200.0,23361.0
20000101001.0,APEVITIN BC XPE 240ML,A,1.0,61259.0,1691701.0,1.014,28.0031,266.0,230.297,175.0,131.5983,01.995.021.90.11,Ponta Gondola,141.0,1002.0,3059.0,01.010.028.01.02,450.0,468.0,15720.0,16311.0
20000010425.0,AAS 100MG C/ 30COMP,A,1.0,57235.0,1748936.0,0.9474,28.9505,134.0,427.12690000000003,252.0,169.4948,01.995.027.90.01,Ponta Gondola,302.0,251.0,980.0,01.015.027.01.02,840.0,146.0,22260.0,23402.0
20000011486.0,BUDESONIDA 64MCG SPRAY NASAL,A,1.0,56103.0,1805039.0,0.9287000000000001,29.8792,160.0,350.6438,240.0,146.10160000000002,00.199.502.61.04,Flowrack,165.0,300.0,2306.0,01.014.012.01.02,240.0,108.0,19440.0,19845.0
20000101168.0,FOLIFOLIN 5MG C/ 30COMP,A,1.0,54678.0,1859717.0,0.9051,30.7843,195.0,280.40000000000003,480.0,58.416700000000006,00.199.502.01.03,Flowrack,353.0,383.0,2359.0,01.014.016.02.01,660.0,181.0,17340.0,18353.0
20000010177.0,NIMESULIDA 100MG C/ 12COMP,A,1.0,54255.0,1913972.0,0.8981,31.6824,169.0,321.0355,305.0,105.25750000000001,00.199.502.75.04,Flowrack,305.0,197.0,1185.0,01.015.005.01.01,1152.0,95.0,34560.0,36017.0
20000102346.0,ALLEXOFEDRIN PED 6MG/ML SUSP   60ML,A,1.0,50575.0,1964547.0,0.8372,32.519600000000004,85.0,595.0,175.0,340.0,00.199.502.98.04,Flowrack,184.0,168.0,1918.0,01.014.016.01.01,300.0,78.0,5650.0,6134.0
20000102382.0,COMPLEXO B FR C/100 COMP REV,A,1.0,47915.0,2012462.0,0.7931,33.3127,262.0,182.8817,240.0,76.2007,00.199.502.57.02,Flowrack,211.0,361.0,2303.0,01.014.022.01.02,600.0,177.0,14520.0,15331.0
20000107001.0,GLICERIN ADULTO C/06 SUP,A,1.0,45854.0,2058316.0,0.759,34.0718,264.0,173.6894,384.0,45.2316,00.199.502.42.03,Flowrack,394.0,415.0,2090.0,01.015.031.01.01,432.0,239.0,10512.0,11338.0
20000101940.0,MIGRALIV(D1) 1BL X 12 COMP,A,1.0,44282.0,2102598.0,0.733,34.8048,263.0,168.3726,250.0,67.349,01.995.029.90.11,Ponta Gondola,232.0,641.0,2734.0,01.014.018.02.01,500.0,231.0,26650.0,27382.0
20000102384.0,COMPLEXO B12 FR C/20 COMP REV,A,1.0,44251.0,2146849.0,0.7325,35.5373,216.0,204.8657,400.0,51.2164,00.199.502.14.05,Flowrack,305.0,219.0,1891.0,01.015.025.01.01,1000.0,158.0,9500.0,10805.0
20000010592.0,HIDROCLOROTIAZIDA 25MG C/ 30CP,A,1.0,41299.0,2188148.0,0.6836,36.2209,212.0,194.8066,252.0,77.30420000000001,00.199.502.13.01,Flowrack,194.0,204.0,187.0,01.015.003.01.01,336.0,121.0,14280.0,14810.0
20000102398.0,SOMINEX COMPOSTO REV C/ 20COMP,A,1.0,40138.0,2228286.0,0.6644,36.8853,261.0,153.7854,336.0,45.7695,00.199.502.64.04,Flowrack,348.0,237.0,4435.0,01.016.035.01.01,480.0,176.0,3264.0,4092.0
20000010085.0,ALBENDAZOL SUSP 10ML,A,1.0,39194.0,2267480.0,0.6488,37.5341,130.0,301.4923,400.0,75.37310000000001,00.199.502.96.04,Flowrack,462.0,184.0,872.0,01.014.036.01.02,720.0,84.0,18720.0,19902.0
20000106007.0,OTOMIXYN  (AM) GOTAS FR C/5ML,A,1.0,37444.0,2304924.0,0.6198,38.1539,247.0,151.5951,200.0,75.7976,00.199.502.02.04,Flowrack,0.0,222.0,991.0,01.016.020.01.01,0.0,133.0,0.0,0.0
20000011037.0,AMOXICILINA SUSP 250MG (AM) 150ML,A,1.0,36808.0,2341732.0,0.6093000000000001,38.763200000000005,80.0,460.1,200.0,230.05,00.199.502.43.03,Flowrack,214.0,137.0,2129.0,01.016.018.01.02,350.0,62.0,10050.0,10614.0
20000010559.0,"OXIMETAZOLINA AD 0,5MG 30ML",A,1.0,35148.0,2376880.0,0.5818,39.345,99.0,355.0303,354.0,100.29100000000001,00.199.502.27.03,Flowrack,334.0,159.0,2024.0,01.014.034.02.02,600.0,75.0,6700.0,7634.0
20000102141.0,CELERGIN C/ 20COMP,A,1.0,34368.0,2411248.0,0.5689000000000001,39.913900000000005,232.0,148.1379,240.0,61.7241,00.199.502.77.01,Flowrack,251.0,280.0,1428.0,01.015.025.01.02,360.0,162.0,5220.0,5831.0
20000010220.0,DEXCLORFENIRAMINA XPE 120ML,A,1.0,33034.0,2444282.0,0.5468000000000001,40.4608,85.0,388.63530000000003,240.0,161.9314,00.199.502.48.04,Flowrack,258.0,218.0,1765.0,01.014.028.01.01,720.0,88.0,10080.0,11058.0
20000010227.0,SIMETICONA  75MG/ML FR C/ 15ML,A,1.0,33017.0,2477299.0,0.5465,41.0073,242.0,136.4339,500.0,27.286800000000003,01.995.029.90.03,Ponta Gondola,392.0,100.0,436.0,01.014.040.01.02,1000.0,60.0,6900.0,8292.0
20000101574.0,BENZIFLEX LIS 125MG+5MG C/ 15COMP REV,A,1.0,32316.0,2509615.0,0.5349,41.5422,248.0,130.3065,384.0,33.934000000000005,00.199.502.67.02,Flowrack,335.0,233.0,1640.0,01.016.013.01.02,768.0,175.0,7728.0,8831.0
20000010539.0,ACETILCISTEINA 40MG/ML XPE 120ML,A,1.0,31589.0,2541204.0,0.5229,42.0651,98.0,322.3367,430.0,74.962,00.199.502.16.06,Flowrack,337.0,144.0,1161.0,01.016.035.01.01,720.0,60.0,4800.0,5857.0
20000010735.0,AMOX+CLAVUL POT SUSP 400MG (AM) 70ML,A,1.0,31572.0,2572776.0,0.5226000000000001,42.587700000000005,52.0,607.1538,300.0,202.3846,00.199.502.58.05,Flowrack,209.0,111.0,2746.0,01.016.020.01.02,250.0,60.0,10575.0,11034.0
20000010201.0,AMOXICILINA SUSP 400MG (AM) 100ML,A,1.0,31135.0,2603911.0,0.5154,43.103100000000005,48.0,648.6458,500.0,129.72920000000002,00.199.502.18.04,Flowrack,0.0,82.0,248.0,01.016.018.01.02,0.0,36.0,0.0,0.0
20000107002.0,GLICERIN INFANTIL C/06 SUP,A,1.0,30858.0,2634769.0,0.5108,43.6139,261.0,118.2299,384.0,30.789,00.199.502.88.04,Flowrack,317.0,229.0,1458.0,01.015.007.01.02,480.0,186.0,5808.0,6605.0
20000011026.0,ENALAPRIL 10MG 30CP,A,1.0,29580.0,2664349.0,0.48960000000000004,44.1036,200.0,147.9,192.0,77.0313,00.199.502.47.04,Flowrack,185.0,208.0,334.0,01.015.019.01.01,720.0,195.0,9504.0,10409.0
20000011964.0,DIPIRONA MONOID. 1G C/10 COMP,A,1.0,28809.0,2693158.0,0.47690000000000005,44.5805,180.0,160.05,200.0,80.025,00.199.502.67.04,Flowrack,0.0,355.0,861.0,01.016.033.01.01,0.0,129.0,0.0,0.0
20000101368.0,NIMESILAM 100MG C/ 12COMP,A,1.0,28699.0,2721857.0,0.4751,45.0555,222.0,129.2748,288.0,44.887100000000004,00.199.502.62.04,Flowrack,252.0,149.0,394.0,01.015.005.01.01,1152.0,121.0,7680.0,9084.0
20000010198.0,DEXCL+BETA XPE 120ML,A,1.0,28621.0,2750478.0,0.4738,45.5293,58.0,493.4655,240.0,205.6106,01.995.023.90.01,Ponta Gondola,0.0,92.0,1096.0,01.014.032.01.01,0.0,46.0,0.0,0.0
20000010482.0,"DEXAMETASONA 4,0MG C/ 10CP",A,1.0,28380.0,2778858.0,0.4698,45.999100000000006,217.0,130.7834,384.0,34.0582,00.199.502.12.01,Flowrack,454.0,144.0,599.0,01.015.021.01.02,576.0,74.0,5856.0,6886.0
20000010579.0,ACETILCISTEINA 20MG/ML XPE 120ML,A,1.0,28194.0,2807052.0,0.4667,46.4658,70.0,402.7714,600.0,67.1286,00.199.502.15.05,Flowrack,524.0,71.0,1685.0,01.010.030.01.02,540.0,54.0,4680.0,5744.0
