Cód.Produto,Descrição,Curva,Embal.,Qtde Venda,Qtde Acumulada,Perc.,Perc.Acumulada,Dias Pedido,Média por dia,Capacid.Apan.,Perc.Capacid.Apan.,Endereço Apanha,Tipo Ender.,Estoque (Unid.),Ativ.Ressupr.,Estoque Armaz. (Unid.),Estoque Geral (Unid.)
20000106011.0,NARIDRIN 12 HORAS FR C/30ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,,,3002.0,0.0,144700.0,147702.0
20000010149.0,METILDOPA 250MG C/ 30CP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,,,5.0,0.0,0.0,5.0
20000101175.0,INFRALAX C/ 15 COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.0,0.0,,,2069.0,0.0,31056.0,33125.0
20000102133.0,ALLEXOFEDRIN ( D) 60+120MG C/ 10COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.0,0.0,,,1947.0,0.0,39072.0,41019.0
20000010039.0,DIPIRONA SOD 20ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,,,1950.0,0.0,4500.0,6450.0
20000450325.0,LEVERCTIN 6 MG C/4COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,0.0,,,120.0,0.0,0.0,120.0
20000010354.0,SIMETICONA 125MG C/ 10CAPS,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,,,1077.0,0.0,0.0,1077.0
20000102138.0,INFRALAX C/30 COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,0.0,,,1803.0,0.0,49344.0,51147.0
20000010409.0,RIFAMICINA (AM) SPRAY 20ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,0.0,,,139.0,0.0,0.0,139.0
20000010120.0,OMEPRAZOL 20MG C/ 28CAPS,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,,,801.0,0.0,0.0,801.0
20000011485.0,BUDESONIDA 32MCG SPRAY NASAL,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,,,1602.0,0.0,28080.0,29682.0
20000010366.0,SIMETICONA  40MG C/ 20COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,,,1375.0,0.0,3300.0,4675.0
20000010067.0,CARBOCISTEINA XPE INF 100ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,,,1489.0,0.0,360.0,1849.0
20000102384.0,COMPLEXO B12 FR C/20 COMP REV,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,,,1305.0,0.0,9500.0,10805.0
20000010479.0,ACET TRIANCINOLONA PDA 10GR,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.0,0.0,,,1304.0,0.0,2744.0,4048.0
20000014342.0,ALENDRONATO DE SODIO 70MG C/ 4COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.0,0.0,,,1230.0,0.0,0.0,1230.0
20000010227.0,SIMETICONA  75MG/ML FR C/ 15ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,,,1392.0,0.0,6900.0,8292.0
20000102011.0,CYSTEX C/ 24DRG,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,,,1420.0,0.0,13900.0,15320.0
20000010177.0,NIMESULIDA 100MG C/ 12COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.0,0.0,,,1457.0,0.0,34560.0,36017.0
20000011521.0,CLOR SERTRALINA 50MG (C1) **C/ 30COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,,,441.0,0.0,0.0,441.0
20000101368.0,NIMESILAM 100MG C/ 12COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,,,1404.0,0.0,7680.0,9084.0
20000101168.0,FOLIFOLIN 5MG C/ 30COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,0.0,,,1013.0,0.0,17340.0,18353.0
20000450326.0,LEVERCTIN 6 MG C/2COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,0.0,,,123.0,0.0,0.0,123.0
20000010085.0,ALBENDAZOL SUSP 10ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,,,1184.0,0.0,18720.0,19904.0
20000102256.0,ALLEXOFEDRIN 120MG C/ 10COM REV-,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.0,0.0,,,1347.0,0.0,4320.0,5667.0
20000010539.0,ACETILCISTEINA 40MG/ML XPE 120ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.0,0.0,,,1058.0,0.0,4800.0,5858.0
20000010579.0,ACETILCISTEINA 20MG/ML XPE 120ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,,,1066.0,0.0,4680.0,5746.0
20000010917.0,BROMOPRIDA 10MG C/ 20COMP,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,,,118.0,0.0,0.0,118.0
20000010517.0,CLONAZEPAM (B1)** GOTAS 20ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,,,337.0,0.0,0.0,337.0
20000010552.0,"MALEATO TIMOLOL 0,5% SOL 5ML",A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,,,482.0,0.0,0.0,482.0
20000106005.0,NARIDRIN ADULTO FR C/15ML,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,,,1161.0,0.0,22200.0,23361.0
20000102313.0,SUPLEVIT C ZINCO1G+10MG C/10COMP EFERV,A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,,,993.0,0.0,360.0,1353.0
