 ,Dep.,Apelido,Região, .1,Situação, .2,Função,Tipo Apanha Frac.,Altura,Num.Posto,Descr.Posto,Motivo Bloqueio, .3,Data Último Invent.,Sit.Último Invent.,Total Invent.
,1,12.011,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:33,Em Contagem,1
,1,12.012,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:33,Em Contagem,1
,1,12.013,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:33,Em Contagem,1
,1,12.014,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-06-14 08:24:18,Em Contagem,2
,1,12.016,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:33,Em Contagem,1
,1,12.021,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.022,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.023,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.024,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.025,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.026,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.031,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.032,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:34,Em Contagem,1
,1,12.033,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.034,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-08-22 17:57:29,Em Contagem,1
,1,12.035,,,Bloqueado,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,DESVIADOR,,,Pendente,0
,1,12.036,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.041,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.042,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.043,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.044,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.045,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.046,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-08-22 17:57:30,Em Contagem,1
,1,12.051,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
,1,12.052,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-08-22 17:57:30,Em Contagem,1
,1,12.053,,,Bloq.Invent.,,Apanha,Flowrack,ALTURA MAIOR PADRAO,11,APANHA FRAC.ESTACAO 11,INVENTARIO,,2023-05-30 09:37:35,Em Contagem,1
