Cód.Produto,Descrição,Curva,Embal.,Qtde Venda,Qtde Acumulada,Perc.,Perc.Acumulada,Dias Pedido,Média por dia,Capacid.Apan.,Perc.Capacid.Apan.,Endereço Apanha,Tipo Ender.,Estoque (Unid.),Ativ.Ressupr.,Estoque Armaz. (Unid.),Estoque Geral (Unid.)
20000062345.0,teste,A,12.0,9892.0,9892.0,5.373,5.373,208.0,47.557700000000004,10.0,475.577,010-044-01-01,Cx.Fechada,120.0,66.0,2172.0,2358.0
20000060341.0,FD INF VIC BABY MEGA G 03X80,A,3.0,9870.0,19762.0,5.361000000000001,10.734,254.0,38.8583,1.0,3885.83,017-034-01-01,Cx.Fechada,6.0,19.0,12594.0,12602.0
20000060342.0,FD INF VIC BABY MEGA EG 3X70,A,3.0,9714.0,29476.0,5.2763,16.0103,251.0,38.7012,1.0,3870.12,018-023-00-02,Cx.Fechada,31.0,13.0,13044.0,13078.0
20000060343.0,FD INF VIC BABY MEGA XXG 3X56,A,3.0,9221.0,38697.0,5.008500000000001,21.018900000000002,247.0,37.332,1.0,3733.2000000000003,018-021-01-01,Cx.Fechada,4.0,22.0,7182.0,7187.0
20000060425.0,ABS SENSATY PREMIUM C/ 08X20,A,8.0,6548.0,45245.0,3.5566,24.5755,235.0,27.8638,1.0,2786.38,017-010-01-01,Cx.Fechada,0.0,54.0,3472.0,3474.0
20000106011.0,NARIDRIN 12 HORAS FR C/30ML,A,100.0,6507.0,51752.0,3.5344,28.1099,251.0,25.924300000000002,2.0,1296.2150000000001,016-037-01-02,Cx.Fechada,1400.0,164.0,369100.0,370672.0
20000060321.0,FD INF MULTIFRAL SUPER JUMBO EG 03X70,A,3.0,4962.0,56714.0,2.6952000000000003,30.805100000000003,134.0,37.029900000000005,3.0,1234.33,018-035-00-01,,0.0,10.0,0.0,0.0
20000231012.0,EXPEC XAROPE FR C/120ML,A,60.0,4505.0,61219.0,2.447,33.252,207.0,21.7633,2.0,1088.165,016-043-01-02,Cx.Fechada,1380.0,177.0,41940.0,43444.0
20000061268.0,FD INF CAP BUMMIS TUBOS MEGA XXG 06X36,A,6.0,4372.0,65591.0,2.3747000000000003,35.6268,217.0,20.1475,2.0,1007.375,017-006-00-01,Cx.Fechada,12.0,59.0,2442.0,2455.0
20000061266.0,FD INF CAP BUMMIS TUBOS MEGA G 06X42,A,6.0,3742.0,69333.0,2.0325,37.6593,242.0,15.462800000000001,6.0,257.7133,018-025-01-01,Cx.Fechada,24.0,64.0,300.0,327.0
20000060320.0,FD INF MULTIFRAL SUPER JUMBO G 03X80,A,3.0,3693.0,73026.0,2.0059,39.6652,112.0,32.9732,0.0,0.0,,,0.0,19.0,0.0,0.0
20000060340.0,FD INF VIC BABY MEGA M 03X90,A,3.0,3546.0,76572.0,1.9261000000000001,41.591300000000004,247.0,14.356300000000001,5.0,287.12600000000003,017-024-01-01,Cx.Fechada,30.0,10.0,1821.0,1854.0
20000060397.0,FD GER FIT CARE CONF ECONOMICA G 04X30,A,4.0,3058.0,79630.0,1.661,43.252300000000005,194.0,15.7629,2.0,788.145,018-037-01-01,Cx.Fechada,8.0,12.0,1340.0,1348.0
20000061267.0,FD INF CAP BUMMIS TUBOS MEGA EG 06X38,A,6.0,2855.0,82485.0,1.5507,44.803000000000004,249.0,11.465900000000001,4.0,286.64750000000004,017-024-01-01,Cx.Fechada,12.0,42.0,2094.0,2106.0
