Código,Descrição,Qtde em Receb.,Estoque Armaz.,Apanha,Permite Frac.,Ender.Cx.Fechada,Embal.,Capacidade,Estoque,Apanha.1,Ender.Fracionado,Tipo,Embal..1,Capacidade.1,Estoque.1
20000460000.0,teste,0.0,14.0,Sim,Não,010-028-01-02,35.0,3.0,3,Sim,26.903,Ponta De G,1.0,35.0,35.0
20000010531.0,AAS 100MG C/ 100COMP,0.0,3.0,Sim,Sim,010-014-01-02,40.0,2.0,1 (+24 fr),Sim,26.144,Prateleira,1.0,20.0,19.0
20000010424.0,AAS 100MG C/ 200COMP,0.0,0.0,Sim,Não,010-012-01-01,40.0,3.0,0,Sim,22.517,Prateleira,1.0,40.0,0.0
20000010425.0,AAS 100MG C/ 30COMP,0.0,35.0,Sim,Sim,015-027-01-02,84.0,10.0,9 (+29 fr),Sim,20.084,Flowrack,1.0,252.0,174.0
20000010159.0,AAS 500MG C/ 200COMP,0.0,0.0,Não,Não,,24.0,0.0,0,Não,,,1.0,0.0,0.0
20000690004.0,AAS 500MG 10 BLT X 10 CPR CIMED,0.0,0.0,Sim,Sim,,50.0,2.0,0,Sim,,,1.0,20.0,0.0
20000063578.0,ABRIDOR DE GARRAFAS PRETO,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,0.0,0.0,0.0
20000062983.0,ABS DEFINITY 1A1 C/ABAS (60X8,0.0,0.0,Sim,Não,018-038-00-02,60.0,10.0,0,Sim,16.023,Flowrack,1.0,60.0,0.0
20000062982.0,ABS DEFINITY 1A1 S/ABAS (60X8),0.0,3.0,Sim,Não,018-038-00-02,60.0,4.0,3,Sim,19.024,Flowrack,1.0,60.0,41.0
20000061717.0,ABS DESC MULTIFRAL TAM UNICO 8X20,0.0,0.0,Não,Não,,8.0,0.0,0,Não,,,1.0,0.0,0.0
20000062981.0,ABS GERIAMAX 20 UN (6X20),0.0,55.0,Sim,Não,018-038-00-01,6.0,13.0,13,Sim,16.053,Flowrack,1.0,12.0,2.0
20000062984.0,ABS NAT GEL MAIS C/ ABA L8P7(60X8),0.0,0.0,Não,Não,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000062989.0,ABS NAT GEL MAIS C/ABA (20X24),0.0,0.0,Não,Não,,20.0,0.0,0,Sim,16.043,Flowrack,1.0,30.0,14.0
20000062985.0,ABS NAT GEL MAIS S/ ABA L8P7(60X8),0.0,0.0,Não,Não,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000064546.0,ABS NAT MASTER INCONTI 20UN (6X20),0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,0.0,0.0,0.0
20000064545.0,ABS NAT MAX NOT C/ ABA 8UN (60X8),0.0,6.0,Sim,Não,018-038-00-01,60.0,4.0,3,Sim,16.054,Flowrack,1.0,60.0,56.0
20000062988.0,ABS PROT DIARIO DAILY CART L48P40 (18X50,0.0,0.0,Não,Não,,18.0,0.0,0,Não,,,1.0,0.0,0.0
20000062990.0,ABS PROT DIARIO DAILY CART PROM 120 UN,0.0,0.0,Não,Não,,12.0,0.0,0,Sim,16.082,Flowrack,1.0,12.0,0.0
20000062987.0,ABS PROT DIARIO DAILY L4P3 16X04X20,0.0,0.0,Não,Não,,16.0,0.0,0,Não,,,1.0,0.0,0.0
20000062986.0,ABS PROT DIARIO DAILY (64X20),0.0,4.0,Sim,Não,018-036-00-02,64.0,4.0,3,Sim,19.013,Flowrack,1.0,64.0,25.0
20000060425.0,ABS SENSATY PREMIUM C/ 08X20,0.0,925.0,Sim,Sim,017-010-01-01,8.0,4.0,3 (+7 fr),Sim,29.573,Prateleira,1.0,8.0,1.0
20000064536.0,ABSORVENTE MODESS CALCINHA FL L/M P 12X1,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
20000021172.0,AC FUSIDICO+VAL BETA (AM) CREME 15G,0.0,0.0,Não,Não,,56.0,0.0,0,Não,,,1.0,0.0,0.0
20000000277.0,AÇAI 450 MG 60 CAPS MAXINUTRI,0.0,0.0,Não,Sim,,12.0,0.0,0,Não,,,1.0,0.0,0.0
20000064479.0,ACALENTUS - MELATONINA OROD 120CPDS,0.0,0.0,Sim,Não,016-004-01-01,12.0,3.0,3,Sim,24.552,Prateleira,1.0,12.0,12.0
20000002258.0,ACALENTUS-L-TRIPTOFANO 250MG 60 CAPS,0.0,8.0,Sim,Sim,010-012-02-01,12.0,1.0,1 (+1 fr),Sim,23.122,Prateleira,1.0,12.0,11.0
20000019082.0,ACALMIL FITO C/20 COMP,0.0,0.0,Sim,Não,017-027-01-01,48.0,1.0,1,Sim,25.143,Prateleira,1.0,48.0,41.0
20000134146.0,ACEBROFILINA AD 10MG/ML 120ML NEO-GEN,0.0,0.0,Não,Sim,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000012217.0,ACEBROFILINA AD 50MG 120ML,0.0,0.0,Sim,Sim,010-018-01-02,60.0,3.0,1 (+29 fr),Sim,22.165,Prateleira,1.0,20.0,20.0
20000010411.0,ACEBROFILINA AD 50MG 120ML,0.0,0.0,Sim,Não,014-022-01-01,60.0,6.0,0,Sim,24.085,Flowrack,1.0,240.0,264.0
20000400001.0,ACEBROFILINA AD 50MG 120ML,0.0,0.0,Sim,Sim,017-037-01-01,40.0,1.0,0,Sim,22.242,Prateleira,1.0,20.0,19.0
20000027102.0,ACEBROFILINA AD 50MG 120ML NQ,0.0,0.0,Não,Sim,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000690000.0,ACEBROFILINA AD 50MG/5ML XPE120ML CIMED,0.0,0.0,Não,Sim,,30.0,0.0,0,Não,,,1.0,0.0,0.0
20000012216.0,ACEBROFILINA INF 25MG 120ML,0.0,0.0,Não,Sim,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000010410.0,ACEBROFILINA INF 25MG 120ML,0.0,9.0,Sim,Não,014-042-01-01,60.0,3.0,3,Sim,29.075,Flowrack,1.0,150.0,45.0
20000400002.0,ACEBROFILINA INF 25MG 120ML,0.0,0.0,Sim,Sim,017-035-01-02,40.0,1.0,0,Não,,,1.0,0.0,0.0
20000027101.0,ACEBROFILINA INF 25MG 120ML NQ,0.0,0.0,Não,Sim,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000690001.0,ACEBROFILINA INF 25MG/5ML XPE 120ML CIME,0.0,0.0,Não,Sim,,30.0,0.0,0,Não,,,1.0,0.0,0.0
20000134115.0,ACEBROFILINA INF 5MG/ML 120ML NEO-GEN,0.0,0.0,Não,Sim,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000903027.0,ACEBROFILINA XP AD 10MG/ML 120ML GEOLAB,0.0,0.0,Não,Sim,,40.0,0.0,0,Não,,,1.0,0.0,0.0
20000903034.0,ACEBROFILINA XP INF 5MG/ML 1VDX120ML GEO,0.0,0.0,Não,Sim,,40.0,0.0,0,Não,,,1.0,0.0,0.0
20000231088.0,ACECLO - GRAN 100MG C/12COMP,0.0,0.0,Não,Não,,48.0,0.0,0,Sim,,,1.0,48.0,0.0
20000062628.0,ACECLOFENACO 100MG C/ 12COMP,0.0,22.0,Sim,Não,016-034-01-01,60.0,8.0,6,Sim,22.205,Prateleira,1.0,60.0,26.0
20000012661.0,ACECLOFENACO 100MG C/ 12COMP,0.0,0.0,Sim,Não,017-019-01-01,48.0,1.0,0,Sim,25.282,Prateleira,1.0,48.0,1.0
20000010815.0,ACECLOFENACO 100MG C/ 12COMP,0.0,0.0,Sim,Não,015-015-01-02,48.0,10.0,0,Não,,,1.0,0.0,0.0
20000021563.0,ACECLOFENACO 100MG C/ 12COMP,0.0,0.0,Não,Não,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000012662.0,ACECLOFENACO 100MG C/ 24COMP,0.0,0.0,Não,Não,,56.0,0.0,0,Não,,,1.0,0.0,0.0
20000021567.0,ACECLOFENACO 100MG C/ 24COMP NQ,0.0,0.0,Não,Não,,56.0,0.0,0,Não,,,1.0,0.0,0.0
20000012546.0,ACECLOFENACO 15MG/G CREME 30GR,0.0,0.0,Sim,Não,012-054-01-02,42.0,3.0,0,Sim,26.493,Prateleira,1.0,42.0,1.0
20000001366.0,ACEITANDO UM NOVO ANIMAL,0.0,0.0,Não,Não,,30.0,0.0,0,Não,,,1.0,0.0,0.0
20000063039.0,ACEPRAN GOTAS 10ML,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
